listing_id,seller_source,seller_type,make,model,trim_generation,year,price_mga,price_raw,currency_original,price_type,negotiable,mileage_km,mileage_raw,fuel,transmission,drivetrain,engine,seats,options_summary,condition_notes,location,contact,include_in_estimation,duplicate_group,data_confidence,extraction_notes
ANX-MKT-0234,,Particulier Facebook,Audi,Q3,,2014,75000000,75M Ar,MGA,private_market,False,100000,100000 km,Diesel,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0235,,Particulier Facebook,Audi,Q5,,2015,95000000,95M Ar,MGA,private_market,False,95000,95000 km,Diesel,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0236,,Particulier Facebook,Audi,Q7,,2015,110000000,110M Ar,MGA,private_market,False,90000,90000 km,Diesel,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0237,,Particulier Facebook,Audi,A3,,2009,68000000,68M Ar,MGA,private_market,False,170000,170000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0238,,Particulier Facebook,Audi,A4,,2016,72000000,72M Ar,MGA,private_market,False,150000,150000 km,Diesel,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0239,,Particulier Facebook,Audi,A6,,2016,75000000,75M Ar,MGA,private_market,False,150000,150000 km,Diesel,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0240,,Particulier Facebook,BMW,E30,,1989,16000000,16M Ar,MGA,private_market,False,220000,220000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0241,,Particulier Facebook,BMW,E36,,1996,18000000,18M Ar,MGA,private_market,False,200000,200000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0242,,Particulier Facebook,BMW,E90,,2009,45000000,45M Ar,MGA,private_market,False,160000,160000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0243,,Particulier Facebook,BMW,F80,,2014,80000000,80M Ar,MGA,private_market,False,110000,110000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0244,,Particulier Facebook,BMW,X3,,2006,65000000,65M Ar,MGA,private_market,False,190000,190000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0245,,Particulier Facebook,BMW,X6,,2013,110000000,110M Ar,MGA,private_market,False,135000,135000 km,Diesel,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0246,,Particulier Facebook,Mercedes,E200,,2004,40000000,40M Ar,MGA,private_market,False,240000,240000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0247,,Particulier Facebook,Mercedes,C200,,2002,45000000,45M Ar,MGA,private_market,False,180000,180000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0248,,Particulier Facebook,Mercedes,A200,,2002,26000000,26M Ar,MGA,private_market,False,200000,200000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0249,,Particulier Facebook,Mercedes,ML,,2009,65000000,65M Ar,MGA,private_market,False,190000,190000 km,Diesel,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0250,,Particulier Facebook,Peugeot,206,,1999,18000000,18M Ar,MGA,private_market,False,250000,250000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0251,,Particulier Facebook,Peugeot,207,,2010,25000000,25M Ar,MGA,private_market,False,190000,190000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0252,,Particulier Facebook,Peugeot,208,,2014,45000000,45M Ar,MGA,private_market,False,140000,140000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0253,,Particulier Facebook,Peugeot,307,,2007,28000000,28M Ar,MGA,private_market,False,200000,200000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0254,,Particulier Facebook,Peugeot,2008,,2013,37000000,37M Ar,MGA,private_market,False,130000,130000 km,Essence,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0255,,Particulier Facebook,Peugeot,3008,,2015,55000000,55M Ar,MGA,private_market,False,130000,130000 km,Essence,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0256,,Particulier Facebook,Renault,Clio,II,2004,12000000,12M Ar,MGA,private_market,False,190000,190000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
